abbr,chamber,name,num_seats,boundary_id
bc,lower,West Vancouver-Sea to Sky,1,british-columbia-electoral-districts/west-vancouver-sea-to-sky
bc,lower,Victoria-Swan Lake,1,british-columbia-electoral-districts/victoria-swan-lake
bc,lower,Vernon-Monashee,1,british-columbia-electoral-districts/vernon-monashee
bc,lower,Vancouver-Quilchena,1,british-columbia-electoral-districts/vancouver-quilchena
bc,lower,Vancouver-Mount Pleasant,1,british-columbia-electoral-districts/vancouver-mount-pleasant
bc,lower,Vancouver-Kingsway,1,british-columbia-electoral-districts/vancouver-kingsway
bc,lower,Vancouver-Hastings,1,british-columbia-electoral-districts/vancouver-hastings
bc,lower,Vancouver-False Creek,1,british-columbia-electoral-districts/vancouver-false-creek
bc,lower,Surrey-White Rock,1,british-columbia-electoral-districts/surrey-white-rock
bc,lower,Surrey-Tynehead,1,british-columbia-electoral-districts/surrey-tynehead
bc,lower,Surrey-Newton,1,british-columbia-electoral-districts/surrey-newton
bc,lower,Surrey-Fleetwood,1,british-columbia-electoral-districts/surrey-fleetwood
bc,lower,Stikine,1,british-columbia-electoral-districts/stikine
bc,lower,Shuswap,1,british-columbia-electoral-districts/shuswap
bc,lower,Saanich North and the Islands,1,british-columbia-electoral-districts/saanich-north-and-the-islands
bc,lower,Richmond East,1,british-columbia-electoral-districts/richmond-east
bc,lower,Prince George-Valemount,1,british-columbia-electoral-districts/prince-george-valemount
bc,lower,Powell River-Sunshine Coast,1,british-columbia-electoral-districts/powell-river-sunshine-coast
bc,lower,Port Coquitlam,1,british-columbia-electoral-districts/port-coquitlam
bc,lower,Peace River South,1,british-columbia-electoral-districts/peace-river-south
bc,lower,Parksville-Qualicum,1,british-columbia-electoral-districts/parksville-qualicum
bc,lower,North Vancouver-Seymour,1,british-columbia-electoral-districts/north-vancouver-seymour
bc,lower,North Island,1,british-columbia-electoral-districts/north-island
bc,lower,New Westminster,1,british-columbia-electoral-districts/new-westminster
bc,lower,Nechako Lakes,1,british-columbia-electoral-districts/nechako-lakes
bc,lower,Nanaimo,1,british-columbia-electoral-districts/nanaimo
bc,lower,Maple Ridge-Mission,1,british-columbia-electoral-districts/maple-ridge-mission
bc,lower,Kootenay West,1,british-columbia-electoral-districts/kootenay-west
bc,lower,Kelowna-Mission,1,british-columbia-electoral-districts/kelowna-mission
bc,lower,Kamloops-South Thompson,1,british-columbia-electoral-districts/kamloops-south-thompson
bc,lower,Juan de Fuca,1,british-columbia-electoral-districts/juan-de-fuca
bc,lower,Fort Langley-Aldergrove,1,british-columbia-electoral-districts/fort-langley-aldergrove
bc,lower,Delta South,1,british-columbia-electoral-districts/delta-south
bc,lower,Cowichan Valley,1,british-columbia-electoral-districts/cowichan-valley
bc,lower,Coquitlam-Burke Mountain,1,british-columbia-electoral-districts/coquitlam-burke-mountain
bc,lower,Columbia River-Revelstoke,1,british-columbia-electoral-districts/columbia-river-revelstoke
bc,lower,Chilliwack,1,british-columbia-electoral-districts/chilliwack
bc,lower,Cariboo-Chilcotin,1,british-columbia-electoral-districts/cariboo-chilcotin
bc,lower,Burnaby-Lougheed,1,british-columbia-electoral-districts/burnaby-lougheed
bc,lower,Burnaby-Deer Lake,1,british-columbia-electoral-districts/burnaby-deer-lake
bc,lower,Alberni-Pacific Rim,1,british-columbia-electoral-districts/alberni-pacific-rim
bc,lower,Abbotsford South,1,british-columbia-electoral-districts/abbotsford-south
bc,lower,Westside-Kelowna,1,british-columbia-electoral-districts/westside-kelowna
bc,lower,West Vancouver-Capilano,1,british-columbia-electoral-districts/west-vancouver-capilano
bc,lower,Victoria-Beacon Hill,1,british-columbia-electoral-districts/victoria-beacon-hill
bc,lower,Vancouver-West End,1,british-columbia-electoral-districts/vancouver-west-end
bc,lower,Vancouver-Point Grey,1,british-columbia-electoral-districts/vancouver-point-grey
bc,lower,Vancouver-Langara,1,british-columbia-electoral-districts/vancouver-langara
bc,lower,Vancouver-Kensington,1,british-columbia-electoral-districts/vancouver-kensington
bc,lower,Vancouver-Fraserview,1,british-columbia-electoral-districts/vancouver-fraserview
bc,lower,Vancouver-Fairview,1,british-columbia-electoral-districts/vancouver-fairview
bc,lower,Surrey-Whalley,1,british-columbia-electoral-districts/surrey-whalley
bc,lower,Surrey-Panorama,1,british-columbia-electoral-districts/surrey-panorama
bc,lower,Surrey-Green Timbers,1,british-columbia-electoral-districts/surrey-green-timbers
bc,lower,Surrey-Cloverdale,1,british-columbia-electoral-districts/surrey-cloverdale
bc,lower,Skeena,1,british-columbia-electoral-districts/skeena
bc,lower,Saanich South,1,british-columbia-electoral-districts/saanich-south
bc,lower,Richmond-Steveston,1,british-columbia-electoral-districts/richmond-steveston
bc,lower,Richmond Centre,1,british-columbia-electoral-districts/richmond-centre
bc,lower,Prince George-Mackenzie,1,british-columbia-electoral-districts/prince-george-mackenzie
bc,lower,Port Moody-Coquitlam,1,british-columbia-electoral-districts/port-moody-coquitlam
bc,lower,Penticton,1,british-columbia-electoral-districts/penticton
bc,lower,Peace River North,1,british-columbia-electoral-districts/peace-river-north
bc,lower,Oak Bay-Gordon Head,1,british-columbia-electoral-districts/oak-bay-gordon-head
bc,lower,North Vancouver-Lonsdale,1,british-columbia-electoral-districts/north-vancouver-lonsdale
bc,lower,North Coast,1,british-columbia-electoral-districts/north-coast
bc,lower,Nelson-Creston,1,british-columbia-electoral-districts/nelson-creston
bc,lower,Nanaimo-North Cowichan,1,british-columbia-electoral-districts/nanaimo-north-cowichan
bc,lower,Maple Ridge-Pitt Meadows,1,british-columbia-electoral-districts/maple-ridge-pitt-meadows
bc,lower,Langley,1,british-columbia-electoral-districts/langley
bc,lower,Kootenay East,1,british-columbia-electoral-districts/kootenay-east
bc,lower,Kelowna-Lake Country,1,british-columbia-electoral-districts/kelowna-lake-country
bc,lower,Kamloops-North Thompson,1,british-columbia-electoral-districts/kamloops-north-thompson
bc,lower,Fraser-Nicola,1,british-columbia-electoral-districts/fraser-nicola
bc,lower,Esquimalt-Royal Roads,1,british-columbia-electoral-districts/esquimalt-royal-roads
bc,lower,Delta North,1,british-columbia-electoral-districts/delta-north
bc,lower,Coquitlam-Maillardville,1,british-columbia-electoral-districts/coquitlam-maillardville
bc,lower,Comox Valley,1,british-columbia-electoral-districts/comox-valley
bc,lower,Chilliwack-Hope,1,british-columbia-electoral-districts/chilliwack-hope
bc,lower,Cariboo North,1,british-columbia-electoral-districts/cariboo-north
bc,lower,Burnaby North,1,british-columbia-electoral-districts/burnaby-north
bc,lower,Burnaby-Edmonds,1,british-columbia-electoral-districts/burnaby-edmonds
bc,lower,Boundary-Similkameen,1,british-columbia-electoral-districts/boundary-similkameen
bc,lower,Abbotsford West,1,british-columbia-electoral-districts/abbotsford-west
bc,lower,Abbotsford-Mission,1,british-columbia-electoral-districts/abbotsford-mission
